challenge_id,user_id,purchase_date,challenge_type,price_usd,account_size,promo_code_used
CH000328,USR002007,2025-02-25,swing,549.0,100000,
CH000339,USR002055,2025-02-25,low_cost_trial,39.0,10000,AFFPARTNER
CH000369,USR002272,2025-02-25,low_cost_trial,39.0,10000,
CH000371,USR002284,2025-02-25,standard,149.0,25000,
CH000376,USR002337,2025-02-25,aggressive,569.0,100000,WELCOME10
CH000378,USR002362,2025-02-25,standard,279.0,50000,
CH000396,USR002575,2025-02-25,swing,799.0,150000,
CH000312,USR001915,2025-02-26,aggressive,319.0,50000,AFFPARTNER
CH000342,USR002062,2025-02-26,standard,279.0,50000,SPRING15
CH000358,USR002200,2025-02-26,aggressive,569.0,100000,FLASH20
CH000277,USR001650,2025-02-27,aggressive,319.0,50000,
CH000288,USR001748,2025-02-27,standard,279.0,50000,WELCOME10
CH000345,USR002072,2025-02-27,low_cost_trial,59.0,25000,
CH000352,USR002135,2025-02-27,swing,549.0,100000,
CH000362,USR002216,2025-02-27,swing,799.0,150000,
CH000366,USR002258,2025-02-27,standard,149.0,25000,COMMUNITY5
CH000410,USR002681,2025-02-27,aggressive,319.0,50000,
CH000287,USR001740,2025-02-28,low_cost_trial,39.0,10000,COMMUNITY5
CH000308,USR001872,2025-02-28,aggressive,179.0,25000,
CH000344,USR002065,2025-02-28,standard,279.0,50000,
CH000357,USR002194,2025-02-28,aggressive,319.0,50000,
CH000361,USR002215,2025-02-28,aggressive,179.0,25000,
CH000118,USR000771,2025-03-01,standard,279.0,50000,
CH000283,USR001702,2025-03-01,standard,499.0,100000,
CH000305,USR001863,2025-03-01,swing,549.0,100000,
CH000422,USR002757,2025-03-01,swing,549.0,100000,
CH000433,USR002846,2025-03-01,aggressive,319.0,50000,SPRING15
CH000037,USR000225,2025-03-02,aggressive,319.0,50000,COMMUNITY5
CH000168,USR001060,2025-03-02,standard,279.0,50000,
CH000314,USR001927,2025-03-02,standard,279.0,50000,SPRING15
CH000329,USR002008,2025-03-02,low_cost_trial,59.0,25000,WELCOME10
CH000335,USR002021,2025-03-02,low_cost_trial,39.0,10000,
CH000350,USR002123,2025-03-02,standard,149.0,25000,
CH000367,USR002263,2025-03-02,aggressive,179.0,25000,WELCOME10
CH000370,USR002281,2025-03-02,low_cost_trial,59.0,25000,
CH000377,USR002344,2025-03-02,low_cost_trial,59.0,25000,
CH000380,USR002389,2025-03-02,standard,149.0,25000,
CH000381,USR002394,2025-03-02,low_cost_trial,39.0,10000,AFFPARTNER
CH000384,USR002423,2025-03-02,low_cost_trial,39.0,10000,
CH000400,USR002629,2025-03-02,standard,149.0,25000,AFFPARTNER
CH000053,USR000311,2025-03-03,standard,149.0,25000,SPRING15
CH000263,USR001556,2025-03-03,swing,299.0,50000,FLASH20
CH000318,USR001951,2025-03-03,aggressive,179.0,25000,
CH000330,USR002013,2025-03-03,standard,499.0,100000,
CH000373,USR002322,2025-03-03,standard,279.0,50000,
CH000375,USR002334,2025-03-03,standard,499.0,100000,SPRING15
CH000386,USR002446,2025-03-03,aggressive,179.0,25000,
CH000392,USR002508,2025-03-03,low_cost_trial,39.0,10000,
CH000158,USR001012,2025-03-04,standard,499.0,100000,
CH000387,USR002451,2025-03-04,aggressive,319.0,50000,
CH000394,USR002515,2025-03-04,aggressive,319.0,50000,
CH000399,USR002600,2025-03-04,aggressive,179.0,25000,
CH000414,USR002710,2025-03-04,standard,499.0,100000,COMMUNITY5
CH000269,USR001595,2025-03-05,low_cost_trial,59.0,25000,WELCOME10
CH000274,USR001629,2025-03-05,low_cost_trial,39.0,10000,
CH000356,USR002183,2025-03-05,low_cost_trial,39.0,10000,
CH000368,USR002268,2025-03-05,aggressive,569.0,100000,
CH000353,USR002169,2025-03-06,standard,279.0,50000,
CH000379,USR002382,2025-03-06,standard,499.0,100000,WELCOME10
CH000393,USR002511,2025-03-06,aggressive,319.0,50000,
CH000462,USR003063,2025-03-06,standard,149.0,25000,
CH000349,USR002111,2025-03-07,low_cost_trial,39.0,10000,COMMUNITY5
CH000385,USR002426,2025-03-07,low_cost_trial,39.0,10000,
CH000057,USR000322,2025-03-08,low_cost_trial,39.0,10000,
CH000334,USR002015,2025-03-08,standard,279.0,50000,COMMUNITY5
CH000382,USR002397,2025-03-08,low_cost_trial,59.0,25000,
CH000427,USR002804,2025-03-08,aggressive,319.0,50000,
CH000081,USR000503,2025-03-09,aggressive,319.0,50000,
CH000425,USR002793,2025-03-09,swing,299.0,50000,
CH000429,USR002808,2025-03-09,aggressive,569.0,100000,
CH000445,USR002919,2025-03-09,aggressive,569.0,100000,
CH000019,USR000134,2025-03-10,standard,279.0,50000,
CH000034,USR000210,2025-03-10,low_cost_trial,59.0,25000,
CH000208,USR001240,2025-03-10,standard,149.0,25000,
CH000354,USR002172,2025-03-10,low_cost_trial,39.0,10000,
CH000372,USR002287,2025-03-10,low_cost_trial,39.0,10000,
CH000383,USR002401,2025-03-10,standard,499.0,100000,
CH000391,USR002474,2025-03-10,aggressive,319.0,50000,
CH000437,USR002864,2025-03-10,low_cost_trial,59.0,25000,
CH000127,USR000814,2025-03-11,low_cost_trial,39.0,10000,
CH000325,USR001996,2025-03-11,swing,549.0,100000,
CH000363,USR002230,2025-03-11,aggressive,319.0,50000,WELCOME10
CH000374,USR002323,2025-03-11,aggressive,319.0,50000,FLASH20
CH000390,USR002469,2025-03-11,aggressive,179.0,25000,FLASH20
CH000397,USR002582,2025-03-11,swing,799.0,150000,
CH000402,USR002632,2025-03-11,standard,499.0,100000,AFFPARTNER
CH000406,USR002655,2025-03-11,aggressive,569.0,100000,
CH000488,USR003207,2025-03-11,low_cost_trial,39.0,10000,WELCOME10
CH000046,USR000275,2025-03-12,swing,549.0,100000,
CH000424,USR002786,2025-03-12,aggressive,569.0,100000,
CH000439,USR002897,2025-03-12,low_cost_trial,39.0,10000,WELCOME10
CH000449,USR002969,2025-03-12,low_cost_trial,39.0,10000,
CH000453,USR002989,2025-03-12,swing,299.0,50000,
CH000463,USR003067,2025-03-12,swing,549.0,100000,COMMUNITY5
CH000478,USR003158,2025-03-12,swing,799.0,150000,
CH000049,USR000292,2025-03-13,low_cost_trial,39.0,10000,WELCOME10
CH000115,USR000763,2025-03-13,standard,499.0,100000,
CH000446,USR002927,2025-03-13,aggressive,569.0,100000,
CH000202,USR001218,2025-03-14,swing,549.0,100000,SPRING15
CH000234,USR001427,2025-03-14,aggressive,319.0,50000,FLASH20
CH000332,USR002014,2025-03-14,swing,799.0,150000,
CH000360,USR002211,2025-03-14,aggressive,179.0,25000,SPRING15
CH000364,USR002232,2025-03-14,low_cost_trial,59.0,25000,WELCOME10
CH000389,USR002464,2025-03-14,standard,149.0,25000,
CH000408,USR002657,2025-03-14,swing,549.0,100000,
CH000438,USR002873,2025-03-14,low_cost_trial,39.0,10000,
CH000388,USR002460,2025-03-15,standard,499.0,100000,
CH000409,USR002660,2025-03-15,aggressive,179.0,25000,COMMUNITY5
CH000417,USR002728,2025-03-15,standard,279.0,50000,
CH000434,USR002855,2025-03-15,swing,799.0,150000,
CH000451,USR002980,2025-03-15,standard,149.0,25000,WELCOME10
CH000464,USR003073,2025-03-15,aggressive,319.0,50000,
CH000485,USR003194,2025-03-15,standard,499.0,100000,
CH000136,USR000848,2025-03-16,swing,299.0,50000,WELCOME10
CH000149,USR000939,2025-03-16,standard,279.0,50000,
CH000224,USR001374,2025-03-16,standard,279.0,50000,COMMUNITY5
CH000398,USR002599,2025-03-16,standard,279.0,50000,AFFPARTNER
CH000473,USR003121,2025-03-16,standard,149.0,25000,COMMUNITY5
CH000489,USR003218,2025-03-16,swing,799.0,150000,
CH000491,USR003228,2025-03-16,swing,299.0,50000,
CH000509,USR003361,2025-03-16,swing,299.0,50000,
CH000395,USR002549,2025-03-17,low_cost_trial,39.0,10000,
CH000404,USR002637,2025-03-17,standard,279.0,50000,AFFPARTNER
CH000405,USR002644,2025-03-17,standard,499.0,100000,
CH000431,USR002820,2025-03-17,low_cost_trial,39.0,10000,SPRING15
CH000448,USR002960,2025-03-17,standard,149.0,25000,FLASH20
CH000452,USR002981,2025-03-17,standard,149.0,25000,AFFPARTNER
CH000470,USR003101,2025-03-17,standard,149.0,25000,
CH000226,USR001376,2025-03-18,swing,299.0,50000,AFFPARTNER
CH000412,USR002694,2025-03-18,standard,279.0,50000,
CH000413,USR002696,2025-03-18,low_cost_trial,39.0,10000,
CH000435,USR002856,2025-03-18,low_cost_trial,59.0,25000,WELCOME10
CH000442,USR002917,2025-03-18,low_cost_trial,39.0,10000,
CH000454,USR003001,2025-03-18,aggressive,319.0,50000,
CH000484,USR003192,2025-03-18,low_cost_trial,39.0,10000,SPRING15
CH000487,USR003205,2025-03-18,low_cost_trial,39.0,10000,
CH000502,USR003302,2025-03-18,aggressive,319.0,50000,
CH000542,USR003587,2025-03-18,standard,149.0,25000,
CH000099,USR000625,2025-03-19,aggressive,319.0,50000,
CH000252,USR001498,2025-03-19,standard,279.0,50000,
CH000294,USR001778,2025-03-19,low_cost_trial,59.0,25000,
CH000418,USR002742,2025-03-19,standard,279.0,50000,WELCOME10
CH000428,USR002805,2025-03-19,low_cost_trial,39.0,10000,
CH000432,USR002828,2025-03-19,low_cost_trial,39.0,10000,
CH000441,USR002915,2025-03-19,aggressive,319.0,50000,
CH000183,USR001123,2025-03-20,standard,499.0,100000,AFFPARTNER
CH000423,USR002777,2025-03-20,swing,299.0,50000,
CH000426,USR002801,2025-03-20,standard,149.0,25000,
CH000450,USR002978,2025-03-20,aggressive,569.0,100000,
CH000455,USR003009,2025-03-20,swing,549.0,100000,
CH000465,USR003082,2025-03-20,standard,499.0,100000,
CH000466,USR003085,2025-03-20,swing,299.0,50000,
CH000468,USR003094,2025-03-20,low_cost_trial,59.0,25000,
CH000503,USR003308,2025-03-20,swing,299.0,50000,
CH000507,USR003343,2025-03-20,swing,799.0,150000,
CH000539,USR003574,2025-03-20,standard,279.0,50000,
CH000490,USR003221,2025-03-21,standard,499.0,100000,
CH000499,USR003292,2025-03-21,standard,149.0,25000,
CH000501,USR003297,2025-03-21,aggressive,569.0,100000,
