user_id,registration_date,country,acquisition_channel,device_type,platform_language,age_bucket,prior_trading_experience
USR000101,2025-01-02,Pakistan,influencers,mobile,English,25-34,beginner
USR000102,2025-01-02,Turkey,organic,desktop,Turkish,55+,none
USR000103,2025-01-02,United States,paid_social,tablet,Spanish,25-34,intermediate
USR000104,2025-01-02,Nigeria,affiliates,desktop,English,25-34,beginner
USR000105,2025-01-03,France,affiliates,mobile,French,25-34,beginner
USR000106,2025-01-03,Nigeria,paid_social,mobile,English,25-34,none
USR000107,2025-01-03,United States,paid_social,mobile,English,45-54,none
USR000108,2025-01-03,United States,paid_social,mobile,English,25-34,beginner
USR000109,2025-01-03,Poland,paid_social,mobile,Polish,18-24,none
USR000110,2025-01-03,United Kingdom,paid_social,mobile,English,45-54,none
USR000111,2025-01-03,France,paid_social,tablet,French,25-34,beginner
USR000112,2025-01-03,United States,paid_social,mobile,Spanish,25-34,intermediate
USR000113,2025-01-03,Poland,paid_social,mobile,Polish,25-34,none
USR000114,2025-01-03,India,affiliates,mobile,English,35-44,none
USR000115,2025-01-03,United States,affiliates,mobile,Spanish,25-34,none
USR000116,2025-01-03,Germany,community,desktop,English,25-34,advanced
USR000117,2025-01-03,United Kingdom,organic,desktop,English,25-34,beginner
USR000118,2025-01-03,Nigeria,organic,desktop,English,25-34,intermediate
USR000119,2025-01-03,Nigeria,influencers,desktop,English,25-34,beginner
USR000120,2025-01-03,United Arab Emirates,paid_social,mobile,Arabic,25-34,none
USR000121,2025-01-03,Poland,paid_social,mobile,Polish,18-24,advanced
USR000122,2025-01-03,India,direct,desktop,English,35-44,beginner
USR000123,2025-01-03,United States,organic,desktop,English,35-44,beginner
USR000124,2025-01-03,Poland,paid_social,mobile,Polish,25-34,none
USR000125,2025-01-03,Mexico,direct,desktop,Spanish,35-44,intermediate
USR000126,2025-01-03,Pakistan,paid_social,desktop,English,35-44,intermediate
USR000127,2025-01-03,United States,organic,mobile,English,18-24,advanced
USR000128,2025-01-03,Pakistan,affiliates,desktop,Urdu,18-24,none
USR000129,2025-01-03,India,organic,mobile,Hindi,25-34,intermediate
USR000130,2025-01-03,Canada,paid_social,desktop,English,18-24,advanced
USR000131,2025-01-03,Germany,organic,tablet,German,25-34,beginner
USR000132,2025-01-03,Mexico,direct,desktop,Spanish,45-54,beginner
USR000133,2025-01-03,Philippines,organic,mobile,English,35-44,beginner
USR000134,2025-01-03,Brazil,direct,mobile,English,55+,advanced
USR000135,2025-01-03,United Kingdom,affiliates,desktop,English,45-54,none
USR000136,2025-01-03,United Kingdom,direct,mobile,English,35-44,beginner
USR000137,2025-01-03,United States,paid_social,mobile,English,25-34,beginner
USR000138,2025-01-03,France,affiliates,desktop,English,18-24,advanced
USR000139,2025-01-03,France,affiliates,mobile,French,35-44,intermediate
USR000140,2025-01-03,Brazil,organic,desktop,Portuguese,55+,advanced
USR000141,2025-01-03,United Kingdom,affiliates,mobile,English,18-24,beginner
USR000142,2025-01-03,Philippines,organic,tablet,Tagalog,25-34,none
USR000143,2025-01-03,Mexico,organic,mobile,Spanish,25-34,beginner
USR000144,2025-01-03,Turkey,organic,desktop,Turkish,35-44,intermediate
USR000145,2025-01-03,India,community,desktop,English,25-34,intermediate
USR000146,2025-01-03,United States,influencers,mobile,English,35-44,intermediate
USR000147,2025-01-03,Mexico,affiliates,mobile,Spanish,35-44,none
USR000148,2025-01-03,Nigeria,paid_social,mobile,English,25-34,advanced
USR000149,2025-01-03,India,paid_social,tablet,Hindi,18-24,beginner
USR000150,2025-01-03,France,organic,desktop,French,18-24,intermediate
USR000151,2025-01-03,Brazil,community,desktop,Portuguese,25-34,none
USR000152,2025-01-03,Brazil,community,mobile,Portuguese,18-24,intermediate
USR000153,2025-01-03,Brazil,affiliates,mobile,Portuguese,25-34,advanced
USR000154,2025-01-03,India,community,desktop,English,55+,advanced
USR000155,2025-01-03,Germany,paid_social,desktop,German,25-34,beginner
USR000156,2025-01-03,Mexico,affiliates,desktop,Spanish,25-34,none
USR000157,2025-01-03,Canada,influencers,mobile,French,35-44,none
USR000158,2025-01-03,Turkey,organic,desktop,Turkish,45-54,intermediate
USR000159,2025-01-03,United Kingdom,organic,tablet,English,18-24,advanced
USR000160,2025-01-03,United Kingdom,organic,mobile,English,25-34,advanced
USR000161,2025-01-03,Poland,paid_social,desktop,Polish,35-44,beginner
USR000162,2025-01-03,Mexico,organic,desktop,Spanish,55+,none
USR000163,2025-01-03,Pakistan,direct,desktop,English,45-54,advanced
USR000164,2025-01-03,Brazil,affiliates,desktop,Portuguese,35-44,advanced
USR000165,2025-01-03,United States,organic,desktop,English,18-24,beginner
USR000166,2025-01-03,India,organic,desktop,English,55+,beginner
USR000167,2025-01-03,United Kingdom,influencers,mobile,English,25-34,beginner
USR000168,2025-01-04,Germany,organic,mobile,German,35-44,intermediate
USR000169,2025-01-04,Nigeria,affiliates,tablet,English,35-44,intermediate
USR000170,2025-01-04,United States,affiliates,mobile,English,25-34,intermediate
USR000171,2025-01-04,United Kingdom,direct,desktop,English,45-54,advanced
USR000172,2025-01-04,United States,influencers,mobile,English,45-54,advanced
USR000173,2025-01-04,India,affiliates,mobile,English,25-34,intermediate
USR000174,2025-01-04,Brazil,influencers,mobile,Portuguese,25-34,none
USR000175,2025-01-04,United States,affiliates,mobile,English,45-54,advanced
USR000176,2025-01-04,Mexico,community,mobile,Spanish,35-44,advanced
USR000177,2025-01-04,United States,paid_social,mobile,English,25-34,intermediate
USR000178,2025-01-04,Brazil,affiliates,mobile,English,25-34,none
USR000179,2025-01-04,Netherlands,direct,desktop,English,25-34,beginner
USR000180,2025-01-04,United States,paid_social,desktop,English,25-34,advanced
USR000181,2025-01-04,Poland,direct,mobile,Polish,25-34,intermediate
USR000182,2025-01-04,India,paid_social,mobile,Hindi,25-34,beginner
USR000183,2025-01-04,United Kingdom,paid_social,mobile,English,25-34,advanced
USR000184,2025-01-04,Philippines,paid_social,mobile,Tagalog,35-44,none
USR000185,2025-01-04,Nigeria,affiliates,desktop,English,35-44,beginner
USR000186,2025-01-04,Germany,organic,tablet,German,25-34,intermediate
USR000187,2025-01-04,Spain,organic,mobile,Spanish,18-24,intermediate
USR000188,2025-01-04,India,paid_social,mobile,English,25-34,beginner
USR000189,2025-01-04,Philippines,direct,mobile,Tagalog,45-54,beginner
USR000190,2025-01-04,United States,influencers,mobile,English,25-34,intermediate
USR000191,2025-01-04,United States,community,mobile,English,35-44,none
USR000192,2025-01-04,Brazil,paid_social,desktop,Portuguese,25-34,none
USR000193,2025-01-04,United Kingdom,affiliates,desktop,English,18-24,intermediate
USR000194,2025-01-04,Turkey,organic,desktop,Turkish,25-34,advanced
USR000195,2025-01-04,United States,organic,desktop,English,25-34,intermediate
USR000196,2025-01-04,United States,affiliates,mobile,English,35-44,advanced
USR000197,2025-01-04,Philippines,paid_social,desktop,English,25-34,beginner
USR000198,2025-01-04,United States,affiliates,tablet,English,25-34,advanced
USR000199,2025-01-04,India,organic,tablet,Hindi,25-34,intermediate
USR000200,2025-01-04,Spain,paid_social,tablet,Spanish,18-24,none
USR000201,2025-01-04,Nigeria,direct,mobile,Arabic,18-24,none
USR000202,2025-01-04,Turkey,organic,mobile,Turkish,35-44,intermediate
USR000203,2025-01-04,Canada,direct,mobile,French,55+,none
USR000204,2025-01-04,India,organic,desktop,English,35-44,beginner
USR000205,2025-01-04,Germany,paid_social,desktop,German,18-24,beginner
USR000206,2025-01-04,United Kingdom,paid_social,desktop,English,25-34,beginner
USR000207,2025-01-04,Brazil,community,desktop,English,18-24,beginner
USR000208,2025-01-04,United States,direct,desktop,English,35-44,intermediate
USR000209,2025-01-04,United Kingdom,affiliates,mobile,English,25-34,advanced
USR000210,2025-01-04,Netherlands,affiliates,desktop,Dutch,25-34,beginner
USR000211,2025-01-04,Turkey,organic,desktop,Turkish,18-24,beginner
USR000212,2025-01-04,France,paid_social,mobile,French,35-44,beginner
USR000213,2025-01-04,India,affiliates,mobile,Hindi,18-24,intermediate
USR000214,2025-01-04,Netherlands,paid_social,mobile,Dutch,45-54,beginner
USR000215,2025-01-04,United Arab Emirates,organic,desktop,Arabic,25-34,intermediate
USR000216,2025-01-04,France,influencers,mobile,English,25-34,beginner
USR000217,2025-01-04,United Kingdom,affiliates,mobile,English,55+,advanced
USR000218,2025-01-04,United Arab Emirates,paid_social,desktop,Arabic,18-24,advanced
USR000219,2025-01-04,Philippines,community,desktop,English,18-24,beginner
USR000220,2025-01-04,India,organic,mobile,English,45-54,none
USR000221,2025-01-04,Nigeria,community,mobile,English,35-44,intermediate
USR000222,2025-01-04,Mexico,paid_social,desktop,Spanish,25-34,beginner
USR000223,2025-01-05,Brazil,community,desktop,Portuguese,18-24,none
USR000224,2025-01-05,Canada,affiliates,desktop,English,18-24,none
USR000225,2025-01-05,Netherlands,affiliates,mobile,Dutch,18-24,intermediate
USR000226,2025-01-05,India,influencers,mobile,Hindi,35-44,beginner
USR000227,2025-01-05,Philippines,organic,desktop,Tagalog,25-34,advanced
USR000228,2025-01-05,United Kingdom,organic,desktop,English,25-34,intermediate
USR000229,2025-01-05,India,direct,mobile,English,25-34,advanced
USR000230,2025-01-05,France,affiliates,desktop,English,25-34,advanced
USR000231,2025-01-05,Brazil,community,desktop,Portuguese,35-44,advanced
USR000232,2025-01-05,Brazil,organic,mobile,Portuguese,18-24,beginner
USR000233,2025-01-05,United States,direct,desktop,English,18-24,beginner
USR000234,2025-01-05,United States,paid_social,mobile,English,18-24,beginner
USR000235,2025-01-05,United States,direct,mobile,English,45-54,intermediate
USR000236,2025-01-05,Germany,affiliates,desktop,English,35-44,beginner
USR000237,2025-01-05,Turkey,paid_social,desktop,Turkish,35-44,beginner
USR000238,2025-01-05,Germany,affiliates,mobile,German,35-44,none
USR000239,2025-01-05,France,paid_social,mobile,French,25-34,none
USR000240,2025-01-05,India,paid_social,desktop,English,18-24,intermediate
USR000241,2025-01-05,Nigeria,paid_social,mobile,Arabic,25-34,beginner
USR000242,2025-01-05,United States,paid_social,desktop,English,35-44,none
USR000243,2025-01-05,Germany,organic,mobile,German,55+,intermediate
USR000244,2025-01-05,Nigeria,community,desktop,English,35-44,beginner
USR000245,2025-01-05,Spain,direct,desktop,Spanish,35-44,advanced
USR000246,2025-01-05,Germany,affiliates,mobile,German,18-24,advanced
USR000247,2025-01-05,India,direct,desktop,English,45-54,intermediate
USR000248,2025-01-05,United States,affiliates,tablet,English,25-34,none
USR000249,2025-01-05,Poland,direct,mobile,Polish,55+,advanced
USR000250,2025-01-05,Germany,community,desktop,German,55+,advanced
USR000251,2025-01-05,United Kingdom,affiliates,mobile,English,18-24,beginner
USR000252,2025-01-05,United States,influencers,mobile,English,25-34,advanced
USR000253,2025-01-05,India,community,desktop,Hindi,55+,intermediate
USR000254,2025-01-05,Brazil,community,desktop,Portuguese,25-34,none
USR000255,2025-01-05,Brazil,influencers,desktop,Portuguese,25-34,none
USR000256,2025-01-05,Poland,influencers,desktop,Polish,45-54,beginner
USR000257,2025-01-05,South Africa,influencers,mobile,English,18-24,none
USR000258,2025-01-05,Turkey,affiliates,mobile,Turkish,35-44,beginner
USR000259,2025-01-05,India,paid_social,mobile,Hindi,25-34,none
USR000260,2025-01-05,Germany,paid_social,mobile,German,18-24,intermediate
USR000261,2025-01-05,United States,organic,desktop,English,25-34,advanced
USR000262,2025-01-05,Canada,organic,mobile,French,55+,advanced
USR000263,2025-01-05,South Africa,organic,mobile,English,35-44,none
USR000264,2025-01-05,Netherlands,paid_social,mobile,English,25-34,beginner
USR000265,2025-01-05,Mexico,paid_social,mobile,Spanish,18-24,beginner
USR000266,2025-01-05,Netherlands,organic,mobile,English,25-34,intermediate
USR000267,2025-01-05,France,community,desktop,French,45-54,advanced
USR000268,2025-01-05,India,community,desktop,Hindi,25-34,advanced
USR000269,2025-01-05,Germany,paid_social,mobile,English,18-24,intermediate
USR000270,2025-01-05,United Kingdom,community,desktop,English,25-34,intermediate
USR000271,2025-01-05,Canada,direct,desktop,English,45-54,intermediate
USR000272,2025-01-05,Germany,paid_social,desktop,German,35-44,beginner
USR000273,2025-01-05,Poland,paid_social,mobile,English,35-44,beginner
USR000274,2025-01-05,Brazil,paid_social,desktop,Portuguese,25-34,beginner
USR000275,2025-01-05,United States,community,desktop,English,25-34,advanced
USR000276,2025-01-05,Pakistan,organic,desktop,Urdu,35-44,intermediate
USR000277,2025-01-05,Brazil,organic,desktop,Portuguese,25-34,beginner
USR000278,2025-01-05,United Kingdom,influencers,mobile,Polish,25-34,none
USR000279,2025-01-05,United States,direct,desktop,English,18-24,none
USR000280,2025-01-05,India,influencers,mobile,Hindi,35-44,none
USR000281,2025-01-05,United States,organic,mobile,English,45-54,intermediate
USR000282,2025-01-05,France,community,desktop,French,25-34,advanced
USR000283,2025-01-05,United States,direct,desktop,English,35-44,intermediate
USR000284,2025-01-05,United Kingdom,affiliates,mobile,English,18-24,none
USR000285,2025-01-05,Germany,organic,mobile,German,18-24,advanced
USR000286,2025-01-05,Spain,affiliates,mobile,Spanish,25-34,beginner
USR000287,2025-01-05,Canada,influencers,desktop,English,35-44,advanced
USR000288,2025-01-05,India,paid_social,desktop,Hindi,35-44,none
USR000289,2025-01-05,United States,affiliates,desktop,English,25-34,beginner
USR000290,2025-01-05,United Kingdom,community,desktop,English,35-44,advanced
USR000291,2025-01-05,South Africa,paid_social,mobile,English,25-34,beginner
USR000292,2025-01-05,United Kingdom,paid_social,mobile,English,35-44,beginner
USR000293,2025-01-06,Brazil,direct,desktop,Portuguese,35-44,advanced
USR000294,2025-01-06,Canada,affiliates,desktop,French,25-34,beginner
USR000295,2025-01-06,France,paid_social,desktop,French,25-34,intermediate
USR000296,2025-01-06,Canada,influencers,mobile,English,25-34,intermediate
USR000297,2025-01-06,United States,community,tablet,English,18-24,beginner
USR000298,2025-01-06,Canada,influencers,mobile,English,55+,intermediate
USR000299,2025-01-06,France,paid_social,mobile,English,18-24,none
USR000300,2025-01-06,Netherlands,paid_social,mobile,English,35-44,none
USR000301,2025-01-06,United Kingdom,affiliates,mobile,English,25-34,intermediate
USR000302,2025-01-06,United States,affiliates,desktop,English,25-34,none
USR000303,2025-01-06,United States,organic,desktop,English,25-34,intermediate
USR000304,2025-01-06,Canada,community,desktop,English,35-44,none
USR000305,2025-01-06,South Africa,organic,mobile,Arabic,35-44,beginner
USR000306,2025-01-06,United States,affiliates,mobile,English,25-34,beginner
USR000307,2025-01-06,United States,influencers,tablet,English,18-24,beginner
USR000308,2025-01-06,United Kingdom,paid_social,mobile,Polish,25-34,beginner
USR000309,2025-01-06,Philippines,organic,desktop,English,25-34,none
USR000310,2025-01-06,France,direct,desktop,French,45-54,intermediate
USR000311,2025-01-06,United States,affiliates,mobile,English,35-44,beginner
USR000312,2025-01-06,Spain,paid_social,mobile,English,25-34,advanced
USR000313,2025-01-06,United Kingdom,affiliates,desktop,Polish,18-24,beginner
USR000314,2025-01-06,South Africa,affiliates,mobile,English,18-24,intermediate
USR000315,2025-01-06,Germany,paid_social,desktop,English,25-34,intermediate
USR000316,2025-01-06,United States,organic,desktop,English,25-34,beginner
USR000317,2025-01-06,Brazil,affiliates,desktop,English,25-34,intermediate
USR000318,2025-01-06,Netherlands,affiliates,desktop,English,35-44,beginner
USR000319,2025-01-06,United States,affiliates,mobile,English,25-34,none
USR000320,2025-01-06,Spain,influencers,desktop,Spanish,25-34,advanced
USR000321,2025-01-06,Poland,paid_social,mobile,Polish,25-34,beginner
USR000322,2025-01-06,Poland,influencers,mobile,English,18-24,none
USR000323,2025-01-06,Germany,paid_social,mobile,German,25-34,intermediate
USR000324,2025-01-06,Poland,affiliates,mobile,Polish,25-34,beginner
USR000325,2025-01-06,United Arab Emirates,affiliates,mobile,English,35-44,intermediate
USR000326,2025-01-06,Nigeria,paid_social,mobile,English,35-44,intermediate
USR000327,2025-01-06,Turkey,paid_social,desktop,Turkish,25-34,none
USR000328,2025-01-06,Brazil,paid_social,mobile,Portuguese,25-34,advanced
USR000329,2025-01-06,Spain,organic,mobile,Spanish,25-34,none
USR000330,2025-01-06,South Africa,affiliates,tablet,English,35-44,none
USR000331,2025-01-06,Brazil,influencers,desktop,English,18-24,beginner
USR000332,2025-01-06,Mexico,affiliates,mobile,Spanish,25-34,intermediate
USR000333,2025-01-06,Brazil,paid_social,mobile,English,25-34,intermediate
USR000334,2025-01-06,Turkey,direct,mobile,English,25-34,beginner
USR000335,2025-01-06,Pakistan,community,mobile,English,45-54,intermediate
USR000336,2025-01-06,Canada,direct,desktop,French,18-24,intermediate
USR000337,2025-01-06,Brazil,organic,mobile,Portuguese,35-44,beginner
USR000338,2025-01-06,United Kingdom,community,mobile,English,25-34,intermediate
USR000339,2025-01-06,Philippines,influencers,mobile,English,18-24,intermediate
USR000340,2025-01-06,United Kingdom,affiliates,mobile,English,45-54,intermediate
USR000341,2025-01-06,Brazil,organic,desktop,Portuguese,45-54,intermediate
USR000342,2025-01-06,Brazil,paid_social,mobile,Portuguese,25-34,advanced
USR000343,2025-01-06,Canada,paid_social,mobile,English,25-34,none
USR000344,2025-01-06,United Kingdom,paid_social,mobile,English,25-34,intermediate
USR000345,2025-01-06,United States,organic,desktop,English,35-44,intermediate
USR000346,2025-01-06,Nigeria,organic,mobile,Arabic,25-34,intermediate
USR000347,2025-01-06,India,organic,desktop,Hindi,18-24,advanced
USR000348,2025-01-06,Canada,paid_social,mobile,French,35-44,none
USR000349,2025-01-06,France,paid_social,tablet,English,25-34,intermediate
USR000350,2025-01-06,Poland,organic,desktop,Polish,25-34,none
USR000351,2025-01-06,United Kingdom,influencers,desktop,English,25-34,intermediate
USR000352,2025-01-06,Poland,organic,tablet,Polish,35-44,advanced
USR000353,2025-01-07,Poland,paid_social,mobile,Polish,25-34,none
USR000354,2025-01-07,United States,paid_social,mobile,English,25-34,intermediate
USR000355,2025-01-07,France,organic,desktop,French,18-24,intermediate
USR000356,2025-01-07,Pakistan,organic,desktop,English,35-44,intermediate
USR000357,2025-01-07,India,paid_social,mobile,English,25-34,none
USR000358,2025-01-07,Brazil,community,desktop,Portuguese,18-24,advanced
USR000359,2025-01-07,United Kingdom,organic,desktop,English,45-54,intermediate
USR000360,2025-01-07,United Kingdom,organic,desktop,English,45-54,beginner
USR000361,2025-01-07,Canada,community,desktop,French,18-24,intermediate
USR000362,2025-01-07,Pakistan,paid_social,desktop,Urdu,25-34,intermediate
USR000363,2025-01-07,France,community,mobile,French,25-34,intermediate
USR000364,2025-01-07,India,organic,mobile,Hindi,35-44,advanced
USR000365,2025-01-07,United States,organic,tablet,English,35-44,beginner
USR000366,2025-01-07,Brazil,community,desktop,Portuguese,55+,advanced
USR000367,2025-01-07,Mexico,affiliates,mobile,English,25-34,none
USR000368,2025-01-07,Germany,organic,desktop,German,35-44,intermediate
USR000369,2025-01-07,United States,community,mobile,English,45-54,intermediate
USR000370,2025-01-07,United States,affiliates,mobile,English,25-34,beginner
USR000371,2025-01-07,Spain,community,desktop,English,35-44,advanced
USR000372,2025-01-07,Philippines,paid_social,desktop,English,25-34,beginner
USR000373,2025-01-07,India,influencers,mobile,Hindi,25-34,none
USR000374,2025-01-07,Pakistan,paid_social,mobile,English,18-24,beginner
USR000375,2025-01-07,Germany,affiliates,mobile,German,25-34,advanced
USR000376,2025-01-07,Mexico,community,desktop,Spanish,18-24,beginner
USR000377,2025-01-07,Canada,community,mobile,English,25-34,none
USR000378,2025-01-07,United Kingdom,paid_social,desktop,English,25-34,advanced
USR000379,2025-01-07,United States,community,desktop,English,45-54,advanced
USR000380,2025-01-07,India,paid_social,mobile,Hindi,18-24,none
USR000381,2025-01-07,India,community,desktop,English,25-34,beginner
USR000382,2025-01-07,Mexico,organic,mobile,Spanish,18-24,beginner
USR000383,2025-01-07,United States,influencers,mobile,Spanish,18-24,beginner
USR000384,2025-01-07,Brazil,direct,tablet,Portuguese,45-54,advanced
USR000385,2025-01-07,Spain,organic,desktop,Spanish,18-24,intermediate
USR000386,2025-01-07,Germany,affiliates,mobile,German,45-54,intermediate
USR000387,2025-01-07,Canada,direct,desktop,French,35-44,advanced
USR000388,2025-01-07,Mexico,affiliates,desktop,Spanish,18-24,advanced
USR000389,2025-01-07,Canada,influencers,tablet,French,18-24,none
USR000390,2025-01-07,South Africa,organic,mobile,English,18-24,intermediate
USR000391,2025-01-07,Germany,direct,desktop,German,45-54,beginner
USR000392,2025-01-07,United States,affiliates,desktop,English,25-34,beginner
USR000393,2025-01-07,Pakistan,paid_social,desktop,Urdu,25-34,none
USR000394,2025-01-07,Germany,organic,mobile,German,35-44,none
