challenge_id,phase_1_status,phase_1_completed_at,phase_2_status,phase_2_completed_at,funded_at,failed_reason,days_to_fail_or_pass
CH000149,passed,2025-04-02,passed,2025-04-15,2025-04-16,,30
CH000150,failed,2025-02-27,not_reached,,,max_drawdown,11
CH000151,passed,2025-02-24,failed,2025-03-03,,rule_violation,16
CH000152,failed,2025-03-31,not_reached,,,consistency_rule,5
CH000153,failed,2025-02-05,not_reached,,,consistency_rule,13
CH000154,passed,2025-02-14,failed,2025-02-25,,daily_loss_limit,23
CH000155,passed,2025-02-10,failed,2025-02-14,,inactivity,10
CH000156,passed,2025-02-22,passed,2025-03-07,2025-03-08,,24
CH000157,passed,2025-02-12,failed,2025-02-19,,max_drawdown,11
CH000158,passed,2025-03-17,failed,2025-03-27,,rule_violation,23
CH000159,passed,2025-03-01,passed,2025-03-13,2025-03-14,,21
CH000160,failed,2025-02-13,not_reached,,,max_drawdown,11
CH000161,failed,2025-02-23,not_reached,,,rule_violation,14
CH000162,failed,2025-02-12,not_reached,,,max_drawdown,9
CH000163,passed,2025-02-07,failed,2025-02-16,,consistency_rule,15
CH000164,failed,2025-02-24,not_reached,,,inactivity,27
CH000165,passed,2025-03-01,failed,2025-03-19,,inactivity,36
CH000166,passed,2025-02-27,failed,2025-03-12,,consistency_rule,32
CH000167,failed,2025-02-22,not_reached,,,daily_loss_limit,21
CH000168,passed,2025-03-05,passed,2025-03-12,2025-03-13,,10
CH000169,passed,2025-02-22,failed,2025-03-07,,rule_violation,26
CH000170,passed,2025-04-02,passed,2025-04-14,2025-04-17,,21
CH000171,failed,2025-01-29,not_reached,,,rule_violation,3
CH000172,passed,2025-02-06,passed,2025-02-10,2025-02-12,,10
CH000173,failed,2025-02-26,not_reached,,,inactivity,5
CH000174,passed,2025-02-23,passed,2025-02-28,2025-03-03,,9
CH000175,failed,2025-02-26,not_reached,,,max_drawdown,6
CH000176,passed,2025-02-16,passed,2025-03-07,2025-03-10,,35
CH000177,passed,2025-02-12,failed,2025-02-21,,consistency_rule,19
CH000178,failed,2025-03-06,not_reached,,,max_drawdown,19
CH000179,failed,2025-02-27,not_reached,,,max_drawdown,22
CH000180,failed,2025-02-23,not_reached,,,daily_loss_limit,11
CH000181,passed,2025-02-27,passed,2025-03-13,2025-03-16,,29
CH000182,failed,2025-02-23,not_reached,,,daily_loss_limit,11
CH000183,passed,2025-04-09,failed,2025-04-18,,consistency_rule,29
CH000184,failed,2025-03-01,not_reached,,,max_drawdown,10
CH000185,failed,2025-02-22,not_reached,,,max_drawdown,13
CH000186,passed,2025-02-16,passed,2025-02-20,2025-02-21,,7
CH000187,failed,2025-02-27,not_reached,,,inactivity,10
CH000188,failed,2025-02-09,not_reached,,,daily_loss_limit,10
CH000189,failed,2025-02-16,not_reached,,,max_drawdown,4
CH000190,failed,2025-02-13,not_reached,,,consistency_rule,15
CH000191,passed,2025-02-14,passed,2025-02-24,2025-02-26,,16
CH000192,passed,2025-03-04,failed,2025-03-13,,inactivity,26
CH000193,passed,2025-02-12,passed,2025-02-21,2025-02-23,,18
CH000194,passed,2025-02-23,failed,2025-03-04,,daily_loss_limit,21
CH000195,passed,2025-02-17,passed,2025-02-24,2025-02-25,,15
CH000196,failed,2025-02-14,not_reached,,,inactivity,5
CH000197,failed,2025-03-01,not_reached,,,inactivity,10
CH000198,failed,2025-02-15,not_reached,,,inactivity,3
CH000199,failed,2025-03-05,not_reached,,,max_drawdown,11
CH000200,failed,2025-02-22,not_reached,,,daily_loss_limit,3
CH000201,failed,2025-02-17,not_reached,,,consistency_rule,13
CH000202,passed,2025-04-07,failed,2025-04-20,,rule_violation,37
CH000203,failed,2025-02-24,not_reached,,,consistency_rule,11
CH000204,failed,2025-02-20,not_reached,,,inactivity,10
CH000205,failed,2025-02-24,not_reached,,,consistency_rule,11
CH000206,passed,2025-03-13,passed,2025-03-29,2025-03-30,,38
CH000207,failed,2025-02-13,not_reached,,,max_drawdown,9
CH000208,failed,2025-03-26,not_reached,,,daily_loss_limit,16
CH000209,passed,2025-02-21,passed,2025-03-01,2025-03-03,,14
CH000210,passed,2025-02-17,passed,2025-03-02,2025-03-04,,16
CH000211,failed,2025-02-20,not_reached,,,daily_loss_limit,7
CH000212,passed,2025-03-03,passed,2025-03-18,2025-03-20,,33
CH000213,failed,2025-02-28,not_reached,,,daily_loss_limit,15
CH000214,passed,2025-03-09,passed,2025-03-27,2025-03-29,,40
CH000215,failed,2025-02-15,not_reached,,,inactivity,4
CH000216,passed,2025-03-02,failed,2025-03-26,,consistency_rule,49
CH000217,passed,2025-03-05,failed,2025-03-20,,daily_loss_limit,28
CH000218,passed,2025-02-26,failed,2025-03-05,,consistency_rule,13
CH000219,passed,2025-03-09,passed,2025-03-27,2025-03-29,,40
CH000220,passed,2025-02-23,passed,2025-02-27,2025-02-28,,21
CH000221,failed,2025-02-26,not_reached,,,max_drawdown,7
CH000222,failed,2025-03-06,not_reached,,,daily_loss_limit,21
CH000223,failed,2025-02-13,not_reached,,,consistency_rule,12
CH000224,failed,2025-03-27,not_reached,,,max_drawdown,11
CH000225,failed,2025-02-27,not_reached,,,inactivity,14
CH000226,failed,2025-04-05,not_reached,,,inactivity,18
CH000227,passed,2025-03-09,failed,2025-03-19,,consistency_rule,28
CH000228,passed,2025-03-03,failed,2025-03-09,,daily_loss_limit,20
CH000229,failed,2025-02-24,not_reached,,,inactivity,14
CH000230,passed,2025-03-06,failed,2025-03-21,,max_drawdown,34
CH000231,passed,2025-02-15,failed,2025-02-24,,daily_loss_limit,19
CH000232,failed,2025-02-13,not_reached,,,rule_violation,9
CH000233,failed,2025-02-24,not_reached,,,inactivity,15
CH000234,failed,2025-04-02,not_reached,,,consistency_rule,19
CH000235,failed,2025-05-04,not_reached,,,max_drawdown,11
CH000236,passed,2025-03-07,failed,2025-03-20,,max_drawdown,27
CH000237,passed,2025-03-08,failed,2025-03-22,,consistency_rule,26
CH000238,failed,2025-04-06,not_reached,,,daily_loss_limit,8
CH000239,failed,2025-05-25,not_reached,,,daily_loss_limit,21
CH000240,failed,2025-03-07,not_reached,,,daily_loss_limit,16
CH000241,passed,2025-02-26,passed,2025-03-02,2025-03-04,,16
CH000242,passed,2025-02-26,passed,2025-03-15,2025-03-17,,33
CH000243,failed,2025-02-22,not_reached,,,max_drawdown,8
CH000244,failed,2025-02-22,not_reached,,,consistency_rule,12
CH000245,passed,2025-03-01,passed,2025-03-16,2025-03-17,,34
CH000246,passed,2025-02-18,passed,2025-02-26,2025-03-01,,21
CH000247,failed,2025-03-06,not_reached,,,consistency_rule,9
CH000248,failed,2025-04-15,not_reached,,,inactivity,15
CH000249,failed,2025-02-27,not_reached,,,max_drawdown,13
CH000250,passed,2025-03-04,failed,2025-03-17,,max_drawdown,25
CH000251,failed,2025-02-24,not_reached,,,inactivity,21
CH000252,failed,2025-03-27,not_reached,,,rule_violation,8
CH000253,passed,2025-02-22,passed,2025-03-08,2025-03-09,,33
CH000254,failed,2025-03-03,not_reached,,,rule_violation,13
CH000255,failed,2025-03-16,not_reached,,,inactivity,20
CH000256,failed,2025-03-11,not_reached,,,consistency_rule,14
CH000257,failed,2025-04-06,not_reached,,,consistency_rule,11
CH000258,failed,2025-02-22,not_reached,,,inactivity,10
CH000259,passed,2025-03-29,passed,2025-04-02,2025-04-05,,11
CH000260,passed,2025-02-26,failed,2025-03-08,,consistency_rule,32
CH000261,passed,2025-02-24,passed,2025-03-08,2025-03-11,,29
CH000262,failed,2025-03-08,not_reached,,,inactivity,20
CH000263,failed,2025-03-16,not_reached,,,max_drawdown,13
CH000264,passed,2025-03-03,passed,2025-03-15,2025-03-18,,23
CH000265,passed,2025-03-03,passed,2025-03-16,2025-03-17,,26
CH000266,failed,2025-02-22,not_reached,,,max_drawdown,11
CH000267,failed,2025-03-06,not_reached,,,max_drawdown,21
CH000268,failed,2025-03-11,not_reached,,,consistency_rule,20
CH000269,passed,2025-03-25,passed,2025-04-02,2025-04-04,,28
CH000270,passed,2025-02-21,failed,2025-03-08,,inactivity,25
CH000271,failed,2025-02-19,not_reached,,,max_drawdown,12
CH000272,failed,2025-03-04,not_reached,,,daily_loss_limit,13
CH000273,failed,2025-03-05,not_reached,,,inactivity,17
CH000274,failed,2025-03-21,not_reached,,,consistency_rule,16
CH000275,passed,2025-04-25,passed,2025-05-16,2025-05-18,,44
CH000276,failed,2025-03-03,not_reached,,,daily_loss_limit,14
CH000277,failed,2025-03-08,not_reached,,,rule_violation,9
CH000278,failed,2025-02-24,not_reached,,,max_drawdown,13
CH000279,failed,2025-02-24,not_reached,,,max_drawdown,7
CH000280,failed,2025-02-18,not_reached,,,inactivity,4
CH000281,failed,2025-03-13,not_reached,,,inactivity,17
CH000282,passed,2025-03-04,passed,2025-03-19,2025-03-21,,32
CH000283,failed,2025-03-13,not_reached,,,inactivity,12
CH000284,passed,2025-03-05,failed,2025-03-11,,daily_loss_limit,20
CH000285,failed,2025-03-02,not_reached,,,max_drawdown,9
CH000286,failed,2025-03-04,not_reached,,,max_drawdown,10
CH000287,failed,2025-03-16,not_reached,,,daily_loss_limit,16
CH000288,passed,2025-03-07,passed,2025-03-16,2025-03-17,,17
CH000289,passed,2025-02-19,failed,2025-03-01,,consistency_rule,22
CH000290,failed,2025-03-27,not_reached,,,max_drawdown,5
CH000291,passed,2025-03-04,failed,2025-03-13,,max_drawdown,20
CH000292,failed,2025-02-24,not_reached,,,consistency_rule,5
CH000293,failed,2025-03-09,not_reached,,,rule_violation,16
CH000294,failed,2025-03-27,not_reached,,,consistency_rule,8
CH000295,passed,2025-02-27,passed,2025-03-03,2025-03-06,,7
CH000296,passed,2025-02-25,failed,2025-03-13,,inactivity,36
CH000297,passed,2025-02-28,failed,2025-03-06,,daily_loss_limit,14
CH000298,passed,2025-04-29,failed,2025-05-13,,max_drawdown,38
CH000299,failed,2025-06-09,not_reached,,,consistency_rule,10
CH000300,failed,2025-03-05,not_reached,,,rule_violation,11
CH000301,passed,2025-02-21,passed,2025-03-01,2025-03-02,,18
CH000302,failed,2025-02-28,not_reached,,,inactivity,16
CH000303,failed,2025-04-10,not_reached,,,inactivity,10
CH000304,failed,2025-05-02,not_reached,,,consistency_rule,10
CH000305,failed,2025-03-17,not_reached,,,inactivity,16
CH000306,failed,2025-04-28,not_reached,,,max_drawdown,12
CH000307,failed,2025-03-03,not_reached,,,daily_loss_limit,15
CH000308,passed,2025-03-06,failed,2025-03-10,,daily_loss_limit,10
CH000309,failed,2025-03-07,not_reached,,,max_drawdown,20
CH000310,passed,2025-02-27,passed,2025-03-09,2025-03-12,,13
CH000311,failed,2025-03-11,not_reached,,,max_drawdown,25
CH000312,failed,2025-03-08,not_reached,,,inactivity,10
CH000313,failed,2025-03-10,not_reached,,,inactivity,13
CH000314,failed,2025-03-09,not_reached,,,inactivity,7
CH000315,failed,2025-02-21,not_reached,,,daily_loss_limit,5
CH000316,failed,2025-03-04,not_reached,,,rule_violation,10
CH000317,passed,2025-04-22,passed,2025-05-01,2025-05-02,,33
CH000318,passed,2025-03-14,failed,2025-03-19,,inactivity,16
CH000319,passed,2025-04-12,failed,2025-04-20,,rule_violation,16
CH000320,failed,2025-02-23,not_reached,,,consistency_rule,9
CH000321,failed,2025-03-05,not_reached,,,rule_violation,10
CH000322,failed,2025-03-02,not_reached,,,rule_violation,8
CH000323,passed,2025-02-24,passed,2025-03-07,2025-03-09,,16
CH000324,failed,2025-02-24,not_reached,,,max_drawdown,12
CH000325,failed,2025-03-25,not_reached,,,daily_loss_limit,14
CH000326,passed,2025-03-01,failed,2025-03-10,,inactivity,21
CH000327,passed,2025-02-28,passed,2025-03-06,2025-03-08,,15
CH000328,passed,2025-03-07,failed,2025-03-17,,daily_loss_limit,20
CH000329,failed,2025-03-10,not_reached,,,consistency_rule,8
CH000330,passed,2025-03-16,passed,2025-03-21,2025-03-24,,18
CH000331,failed,2025-03-04,not_reached,,,max_drawdown,10
CH000332,failed,2025-04-04,not_reached,,,consistency_rule,21
CH000333,failed,2025-02-25,not_reached,,,daily_loss_limit,3
CH000334,passed,2025-03-16,passed,2025-03-24,2025-03-27,,16
CH000335,failed,2025-03-16,not_reached,,,rule_violation,14
CH000336,passed,2025-03-09,passed,2025-03-19,2025-03-20,,28
CH000337,failed,2025-02-28,not_reached,,,consistency_rule,5
CH000338,passed,2025-02-21,passed,2025-03-04,2025-03-05,,19
CH000339,passed,2025-03-09,passed,2025-03-18,2025-03-20,,21
CH000340,failed,2025-03-02,not_reached,,,max_drawdown,15
CH000341,failed,2025-03-02,not_reached,,,consistency_rule,14
CH000342,failed,2025-03-11,not_reached,,,rule_violation,13
CH000343,failed,2025-05-09,not_reached,,,inactivity,31
CH000344,passed,2025-03-11,failed,2025-03-19,,max_drawdown,19
CH000345,failed,2025-03-02,not_reached,,,daily_loss_limit,3
CH000346,passed,2025-03-11,passed,2025-03-22,2025-03-25,,34
CH000347,failed,2025-03-14,not_reached,,,daily_loss_limit,20
CH000348,failed,2025-03-05,not_reached,,,rule_violation,9
CH000349,passed,2025-03-15,passed,2025-03-26,2025-03-29,,19
CH000350,failed,2025-03-13,not_reached,,,rule_violation,11
CH000351,failed,2025-03-06,not_reached,,,max_drawdown,13
CH000352,failed,2025-03-19,not_reached,,,rule_violation,20
CH000353,passed,2025-03-16,passed,2025-03-23,2025-03-24,,17
CH000354,failed,2025-03-25,not_reached,,,max_drawdown,15
CH000355,passed,2025-04-14,failed,2025-04-25,,inactivity,22
CH000356,passed,2025-03-08,failed,2025-03-12,,consistency_rule,7
CH000357,failed,2025-03-12,not_reached,,,inactivity,12
CH000358,failed,2025-03-16,not_reached,,,rule_violation,18
CH000359,failed,2025-04-08,not_reached,,,max_drawdown,17
CH000360,passed,2025-03-20,failed,2025-03-28,,inactivity,14
CH000361,passed,2025-03-13,failed,2025-03-24,,daily_loss_limit,24
CH000362,passed,2025-03-21,failed,2025-04-03,,daily_loss_limit,35
CH000363,failed,2025-03-22,not_reached,,,consistency_rule,11
CH000364,failed,2025-03-30,not_reached,,,daily_loss_limit,16
CH000365,failed,2025-04-27,not_reached,,,consistency_rule,16
CH000366,passed,2025-03-05,passed,2025-03-19,2025-03-20,,20
CH000367,failed,2025-03-18,not_reached,,,consistency_rule,16
CH000368,failed,2025-03-18,not_reached,,,max_drawdown,13
CH000369,failed,2025-03-08,not_reached,,,rule_violation,11
CH000370,failed,2025-03-06,not_reached,,,inactivity,4
CH000371,passed,2025-03-13,passed,2025-03-27,2025-03-29,,30
CH000372,failed,2025-03-16,not_reached,,,daily_loss_limit,6
CH000373,passed,2025-03-08,failed,2025-03-18,,max_drawdown,15
CH000374,failed,2025-03-23,not_reached,,,inactivity,12
CH000375,passed,2025-03-24,failed,2025-04-04,,daily_loss_limit,32
CH000376,failed,2025-03-11,not_reached,,,rule_violation,14
CH000377,failed,2025-03-11,not_reached,,,daily_loss_limit,9
CH000378,failed,2025-03-12,not_reached,,,inactivity,15
CH000379,passed,2025-03-11,failed,2025-03-23,,daily_loss_limit,17
CH000380,passed,2025-03-10,passed,2025-03-25,2025-03-27,,23
CH000381,failed,2025-03-08,not_reached,,,inactivity,6
CH000382,failed,2025-03-16,not_reached,,,consistency_rule,8
CH000383,passed,2025-03-19,failed,2025-04-01,,daily_loss_limit,22
CH000384,failed,2025-03-07,not_reached,,,consistency_rule,5
CH000385,failed,2025-03-18,not_reached,,,inactivity,11
CH000386,failed,2025-03-13,not_reached,,,max_drawdown,10
CH000387,passed,2025-03-14,passed,2025-03-27,2025-03-30,,23
CH000388,failed,2025-03-25,not_reached,,,consistency_rule,10
CH000389,passed,2025-03-31,failed,2025-04-06,,max_drawdown,23
CH000390,passed,2025-03-21,passed,2025-04-05,2025-04-08,,25
CH000391,failed,2025-03-21,not_reached,,,max_drawdown,11
CH000392,failed,2025-03-14,not_reached,,,inactivity,11
CH000393,failed,2025-03-18,not_reached,,,daily_loss_limit,12
CH000394,failed,2025-03-16,not_reached,,,daily_loss_limit,12
CH000395,passed,2025-03-29,passed,2025-04-09,2025-04-10,,23
CH000396,passed,2025-03-24,passed,2025-04-10,2025-04-13,,44
CH000397,passed,2025-04-01,passed,2025-04-18,2025-04-19,,38
CH000398,failed,2025-03-27,not_reached,,,inactivity,11
CH000399,failed,2025-03-07,not_reached,,,daily_loss_limit,3
CH000400,passed,2025-03-12,failed,2025-03-20,,rule_violation,18
CH000401,failed,2025-04-13,not_reached,,,inactivity,5
CH000402,failed,2025-04-03,not_reached,,,daily_loss_limit,23
CH000403,failed,2025-05-03,not_reached,,,daily_loss_limit,6
CH000404,failed,2025-03-28,not_reached,,,max_drawdown,11
CH000405,passed,2025-04-12,passed,2025-04-20,2025-04-21,,34
CH000406,failed,2025-03-24,not_reached,,,inactivity,13
CH000407,failed,2025-05-03,not_reached,,,daily_loss_limit,14
CH000408,passed,2025-04-03,failed,2025-04-18,,consistency_rule,35
CH000409,failed,2025-03-25,not_reached,,,max_drawdown,10
CH000410,failed,2025-03-14,not_reached,,,daily_loss_limit,15
CH000411,passed,2025-04-04,failed,2025-04-09,,max_drawdown,13
CH000412,passed,2025-03-21,passed,2025-04-02,2025-04-05,,15
CH000413,failed,2025-03-21,not_reached,,,inactivity,3
CH000414,passed,2025-03-16,failed,2025-03-29,,consistency_rule,25
CH000415,failed,2025-04-10,not_reached,,,inactivity,19
CH000416,failed,2025-04-01,not_reached,,,consistency_rule,10
CH000417,passed,2025-03-22,failed,2025-04-05,,inactivity,21
CH000418,failed,2025-03-28,not_reached,,,inactivity,9
CH000419,failed,2025-04-12,not_reached,,,max_drawdown,18
CH000420,failed,2025-04-08,not_reached,,,inactivity,14
CH000421,failed,2025-05-13,not_reached,,,daily_loss_limit,16
CH000422,passed,2025-03-17,failed,2025-04-02,,max_drawdown,32
CH000423,failed,2025-04-04,not_reached,,,max_drawdown,15
CH000424,passed,2025-03-23,failed,2025-04-05,,consistency_rule,24
CH000425,passed,2025-03-30,passed,2025-04-19,2025-04-22,,41
CH000426,passed,2025-04-03,failed,2025-04-10,,max_drawdown,21
CH000427,failed,2025-03-21,not_reached,,,max_drawdown,13
